complaint_text,category,priority
"When I call, most times I get someone overseas. That is seriously disturbing. They are very hard to understand and there are too many Americans who need jobs. Great internet service when it works... Very good value. Easy to order on demand as well as changing your services. It seems to be getting better lately. The cost goes up and up till I have to call and ask them to bring the cost down or I will change providers. I Do like that there is no contract.",Billing,Medium
"I was attempting to explore service options as my Comcast bill is set to rise from appoximately $130 a month to around $200, which I can not afford. I discovered that the other local cable company is NOT ALLOWED THE OPPORTUNITY TO PROVUIDE SERVICE to the apartment complex where I live as COMCAST PAYS THE PROPERTY OWNERS WHAT IS ESSENTIALLY BRIBE MONEY TO KEEP THE OTHER CABLE COMPANY OFF OF THE PROPERTY THUS ELIMINATING ANY COMPETITION. Is it legal for Comcast to pay to keep other competitors out? I am positive that this is not an isolated incident and that they must be doing this at many properties. PLEASE HELP US!The damage is higher prices as there are very limited service options since competition is prohibited.",Billing,High
"Service was disconnected for nonpayment. Death in the family caused unexpected financial problems. 2 weeks later, a rep left a note to get the equipment! I plan to pay the bill in july... this is June. Called and waited 1 hr. No answer. Why the rep??",Billing,Medium
"In May 2009, I entered into contract to upgrade my services with Comcast. I was told I would receive cable, phone service and the highest available speed internet service for the price of $114.99 all inclusive (taxes, modem, etc.). I confirmed the price and services with the Comcast representative at least six times to make sure there was no misunderstanding. I agreed to the offer as offered to me by the Comcast representative. I have since been overcharged twice, the first time was an ""error"" of approximately $30-35 (which was later resolved). My last bill was for $130.31, not the $114.99 I was repeatedly promised. Calls to Comcast (Ann/May?) to resolve the matter were absolutely useless (she claimed the extra charges were for modem rental and taxes, neither of which were stated as ""extra charges"" by the original representative when I accepted). I had been told each time I asked that the $114.99 cost included everything and a promise of a call from the supervisor from that representat",Billing,High
   Initital contact to lower cable bill; was quoted (by Danny) $144.95 + tax with installation of telephone line; all else remains same; then connected me with service department; talked with Niecey; she told me bill would increase to $176 plus tax; then recanted and told me $176 plus many other current services still needed to be added to bill;,Billing,High
Every month I am overcharged and have to call and complain until they adjust it! I was charged an installation fee and shipping even though I installed it myself!!!! It's ridiculous. Between being overcharged and the service sucking... I'm dropping it and looking to switch!!,Billing,High
They have been over charging me for the past six months. I called in March 2015 and talked to ** and I thought it was resolved. I received my May bill and it has not been resolved. And they can not help me because I need to talk to A BILLING SUPERVISOR and they would not let me do so. I need to talk to a supervisor.,Billing,High
"From the very start I have had billing problems with Comcast. They do not try to correct their oops up just tries to fast talk you as if you are that dumb and not listening. When I first received my equipment in the mail I installed it correctly but did not get a signal. I called Comcast. The rep tried sending a signal and it failed. I was told since it was a problem on their end I would not be charged for a tech to come to my home, well I was. The tech comes out and the jack that is in the room with the TV does not work so the cable was ran to a different room. The tech ordered a tech to come out the next day to fix the jack. I asked the tech ""would I be charged for this?"". He stated ""NO"", I was. I called customer service after seeing my online bill. Got the run around from the rep. Had to ask to speak to a manager. The manager did not want to honor the false information given by their employees. All she did was half off. No fair because I would had the extra fees if it was not for th",Billing,High
"Comcast made an error and added $43.26 to my bill with no explanation. I called and spent over an hour of my time on the phone with them trying to figure out what happened and what this charge was for. After an hour, and many transfers, they finally said, ""We made an error and we will correct it on next month's bill"". However, I still have to pay the extra money this month, because they cannot fix their error and correct the amount in the next two weeks before my bill is due to be auto-paid from my account.Thank you Comcast for wasting over an hour of my time, and for stealing my money. That is what I call excellent customer service!",Billing,High
"Have been without cable TV for over 3 weeks now.  Have a few channels here and there but nothing we can watch with any consistency.  We have called many times starting 3 weeks ago.  We were originally told someone would be out on May 27.  Then no one showed up and we called again.  We were told we just didn't understand, they would not be coming until June 2.  The night of June 2 we called to find out what they were going to do to fix our cable.  They said they would not be out until the next day.  The next evening we called and got the same story.  Pretty much been the story since.  This week they did agree to give us a $100 credit on our bill, although our bill is $150 a month.  For the past 3 days I have been told that someone would be contacting the Maintenance dept and call me right back.  I have not had one call.  Sometimes I am on hold for over 45 min.  We have no television service and have been charged, lied to and have missed 3 days of work staying home waiting on service tha",Billing,High
"I have been a customer for nearly 2 years. This company’s ONLY time of good prices is for the initial time period of a contract. After that the shake down begins, but also the service is HORRENDOUS!!! Very intermittent, never at the level that you are promised, but they charge you for it and brag about themselves as if their ads matter more than what they deliver. They beat you into submission because the only alternative is to block out five plus hours of your day for an incompetent technician to show up and basically change NOTHING... I know that most of the people using Comcast have no other choice or they wouldn't be here using it. This is the way it is. Like mafia the companies each mark out their territories and do their shakedowns... This is the one thing you can rely on with their services. You will be shaken down... period.Their service sucks. It is advisable to be very creative in your search for services before getting involved with them. It will become a headache you wish t",Billing,High
"Fraudulent-Over Billing Practice, Did Not honor installation Promotion thus sending me an inflated bill as a result- -- I cancel my service for there failure to honor there promotion and have been disputing the over charges with Comcast for over 3 months now and no resolution to date has come from my efforts unfortunately my dispute has fell on deaf earsI returned all equipment and Comcast is still sending bills for charges and services that have been canceled and still trying to collect payment for the equipment that I returned I also received on my bill a bogus $50.00 charge on a September billI also gave them a $50 deposit for the service and have not received any adjustments to my account to reflect same.",Billing,High
"For over 20 years, I diligently paid Comcast's statements each month - if I had not, I would have had to pay interest plus a penalty. On 12/18/15, I returned ALL of the Comcast equipment I had in my possession to a Comcast-approved UPS store. Fortunately, I saved the UPS receipt. Comcast sent me an email on 1/4/16 confirming receipt of the equipment. After not receiving the equipment refund from Comcast plus any remaining charges for unused services, I called Comcast on 2/9/16 to inquire about its status. I was informed by the person I spoke to that my refund would require 4-6 weeks for Comcast to process. On 4/12/16, I filed a pre-complaint with the FCC and received a telephone call from Comcast on 4/13/16, after which I sent four emails to the person I spoke to which included my UPS receipt, the confirmation of receipt sent to me by Comcast, a previous email communication with Comcast, and an email requesting receipt of the information I sent to the person I spoke to. It is now 4/24/",Billing,High
"The community in which I live, includes the cable TV service in the monthly homeowner's dues. I have lived here for 19 years. In Nov. 2008, I began receiving erroneous cable bills from COMCAST. I consequently called and was told to ignore the bill because it should have never been generated. In Dec. 2008, I received another bill. I wrote to COMCAST and told them again that I did not owe the amount, because it was included in my homeowner's dues. I also, told them if I received another bill, I would file a complaint. Yesterday, I received another bill. I don't know what else to do - since talking and writing doesn't seem to resolve the situation. Thank you.",Billing,High
"I closed my Comcast account on June 19, 2015, and was promised a $50.00 refund check, representing the deposit I paid. I received a partial refund check of $34.75 and contacted Comcast on July 17, 2015, to request the remaining deposit amount of $15.25, which Comcast agreed to provide in 2 weeks. When I didn't receive the $15.25 refund check by August 13, 2015, I contacted Comcast and was promised a refund check in 3-4 weeks. When I didn't receive the $15.25 refund check, I contacted Comcast on September 14, 2015. They could not tell me why the refund check had not yet been sent and instructed me to go to my closest Comcast store to pick up my refund check. When I requested my refund at the Comcast store, the representative advised me that the store did not provide refunds. He stated that he did not know why a Comcast representative would send me there.He indicated that he could see a refund request but there was no credit due on the account, so no check would be cut. He proceeded appl",Billing,High
"I upgraded to the Xfinity internet with Comcast and have had nothing but trouble with tech support. The techs are just probable just doing their jobs and are polite, but the problem is they want to transfer you to level 2 if level 1 can't fix the problem. They must be from some foreign country as they are hard to understand and don't listen to what you are saying. They ask for the same information over and over. Then they repeat what they said several times and by the time you tell them the problem, they want to know the same thing over again until you become so frustrated you want to throw the phone at them. Well, by the time you get to level 2, they want to charge for the service level 1 couldn't handle. This is not the first time I have had trouble with them. I switched to Comcast several years ago and it took 6 months to get the billing and problems fixed.",Billing,High
"   Since we had this company through different names,our cable programs have been interupted by means of bad transmission of programing.I have reported bad cable reception ma times but, thetny always give me an excuse and never once offered money off or free cable for a while. More often then not some channels go out or don't come in right. Something needs to be done about the way we are treated as customers. When we get bad cable we should be reembursed for the times we could not use our cable. I pay about 73.00 a month for this service and I want to have good service for the money I have spent but, I wish now I would have complained to you sooner. Is there any relief from this bad business with comcast? I would like money off my bill for all the times I had to go with out good cable. Please report this and do what ever you can to help this bad programing cable scam.  Undo stress from cable that is unable to watch. My wife and I rely on the cable stations but, get negative feed back,p",Billing,High
"I'm going to make this short; this company isn't worth my time. I signed up for 79$ service. My first bill is 363. I call to ask why, she say it's a 40$ mistake. So I say, ""the bill is still 320 for one month of service."" She goes, ""first bill is always higher.""| I said I wanna cancel and send everything back. She told me to ** off and hung up on me. This company uses strong arm tactic when it comes to their customers. It's should be a crime what this company is doing to its customers. ",Billing,High
Back in September I had called Comcast and told them right now I cannot afford to pay them the money I was going to do. They tell me to do a stop payment with the bank for what they told me 268.30. 2 days later it goes through. I told them I needed that money back. They told me they would refund it. Well it's almost November and still fighting with them. Even though one tells me they will refund another one says no. Angry as heck with them.,Billing,High
"THAT'S IT! I HAVE HAD IT!! I just realize my monthly bill went up by $30.00 per month. I called their ""customer service"" to find out why. The rep. told me yeah - the prices on everything went up as of Jan. 1. Even on rental cable box and the cable model. Really? You raise the rental fees on me on your used equipment? If anything the prices should drop since they are used. I can buy brand new equipment after I paid your rental fees for a few months. I thought I should at least ask for a different package for lower monthly fees and guess what? I can get my old monthly prices back if I sign up for a new 2 years contract agreement. What? Are you nuts? You must be crazy Comcast! What's the matter with you???Comcast is an evil company. Comcast's ""Customer Service"" is an oxymoron. Be sure to always check your monthly bills, and avoid autopay if possible. If you don't, you will be unpleasantly surprised when they raise the fees of your services and not notifying you before the prices went up. ",Billing,High
I have been a customer going on 2 yrs and never been late or missed a payment. When I came home on last Tuesday and over 50 of my stations had been removed. No notice or anything. When I called they said my plan had been changed and those channels were no longer available on my program and if I wanted those channels I would have to pay more money and to make matter worst the price on my current account didn't go down. I would have thought my account would have been grandfathered in and new accounts would receive the new programming. If I want my channels back I have to pay more money and I get no lower price for less channels.,Billing,High
"Worst customer service I've ever come across. I see why you're recruiting people out of customer service jobs for your company. A few months back, I called to see what it would cost to add STARS onto my account. The representative on the phone told me that it would only increase my TOTAL bill another $3 a month. I thought this was a great deal, and asked SEVERAL times, ""How much my total cost would be?"" Each time I was told it would only increase my total bill $3. When I finally look at the bill two months later, it's gone up over $25. So I called customer service and spent an hour on the phone. After getting nowhere, except a non-working phone number to a supervisor, I called back for a 4th time. This time I spoke with the first level customer service agent, who told me she could adjust my bill to the amount I was quoted. Now when I am getting ready to go to bed, I go upstairs and my cable box says ""not authorized for use"" so I had to call again and spend more time on the phone. I was",Billing,High
"I called Comcast to set up a post dated payment with my mom's bank card. Well she went out of town before I could deposit the money into her account so I couldn't get in touch with her to get her account number so I can deposit the money in her account. So as soon as I got paid that Friday I paid the bill come to find out they still took the payment from her account and I understand that a postdated payment can't be changed once made, but that's two payments for the same amount to the same bill. And now they say I can't get a refund because of the policy. I ask to speak to the manager. They told me a manager would be calling me in 72 hours. It's been 5 days now still no call. Comcast sucks!",Billing,High
Horrible service but would not let me disconnect. Supposed to then keep me suspended until June 2015 but just started full billing me back to November!!,Billing,High
"Ordered the TV & Internet double package that I received from Xfinity mailer promotion. When installer arrived, he had been given a different order to install incorrect boxes and service. Some of this problem was corrected while he was doing the install, however after installation, I found I was billed way above the quoted costs. After 3 1/2 hours on the phone with 8 different representatives, I was still not given the package that was advertised and now 2 of the receiver boxes continue to drop signal. I am averaging 11/2 hour per day trying to get this corrected. My internet speed is not the speed I was told I would receive. I tried to replace one of the receivers that is dropping and was sent a box that was not what I ordered. Customer service reps seem to be of no help and only answer any question by reading their prepared texts. Now I find that pending charges exceed quoted prices again. I can guarantee that when my contract expires. Xfinity will never have me as a customer again.",Billing,High
"Comcast charged me for the Mayweather-Pacquiao Fight that did not play. They claimed that shows up in their system as the event did play for 54 minutes, when in fact it did not. I have an SD box so I ordered it on the phone in Standard Definition and they charged me for HD. They said that in their system shows up as if I ordered from the box in HD. The fact is that I could not play the fight. When I try to call, the lines were super busy because apparently million of people were having the same issue. I've waited on the lines for approximately hour and a half and finally gave up and hang up. The charge did not show up in my account online, so I assumed I was not going to be charged with all that fuzz going on. And of course I forgot about it because believe it or not some people do have to work for a living and can not be on the phone all day and make our lives about Comcast.Of course a month later the $99 dollars show up on my account and when I called they said it was too late, that ",Billing,High
"Call to have service moved to a new home for my mom & dad. They showed up, told us they had to rewire but not that it would cost $90. Then told we got new boxes, not the ones we had. Got the bill and the new boxes were $10 each box, each month. Feel they were taking advantage of older people!!!!! Have had more problems then can count. Cable not working then phone not working. It's always something and they want to charge for everything!! Do NOT like or trust Comcast!!!!",Billing,Medium
"I've called numerous times about my ""bundle"". I have the triple play with the home security. They tell me it's going to be over $600 to switch to a different bundle. I was supposed to have free installation as part of my sign up and that was not the case. After two months they decided to refund half, absolutely ridiculous. They told me it wasn't going to be much more than what I was paying before, it's over $60 a month more. I will be canceling my services and I will never go back. I had been with them for over three years and if this is how I'm going to be treated, then good riddance! I would recommend not even signing up for any services this company provides. You will never pay what you think you will be, it will always be much more.",Billing,High
First in March 2007 I added phone service and was told w/the internet & television it would cost me $129.99. After installation the next day I had no service for all 3 of the above. After multiple tries to resolve at the 1800 number I had to contact the corporate office. They resolved the issue with TV & internet and the phone service is limited. I have contacted them for the problem with the phone service with no resolution. They have been charging me $129.99+ on my bill (even though the service was not correct) On my 9/15/2007 bill they increased my bill by $22.11 & 17.80. After having enough I have repeatedly trying to call them for the phone service (a tech came to my house for 3 hours after Comcast said they were waiting for me to call back after many calls & months) Nothing has been resolved for the phone service. The increase in my bill has NOT been resolved (a 2 yr price contract was suppose to be in effect) Everyone that I have spoken to has given me a different answer - some ,Billing,High
"I would like to receive a bill each month. This seemed to be very difficult for Comcast to do. I supposedly have a credit of $396.80 (according to the internet), $396.38 (according to their recording on the phone) and every month, I have to call and request my bill showing how much they are charging me and what credit I still have. I think that most customers do not pay attention to their bills and are charged randomly. Last month my bill was $158.69. This month was supposedly $161? They can't tell me why or what went up and have not yet sent me a bill. Why is this?",Billing,High
"On March 30, 2010, I paid my bill but meant to pay only the past due. The entire amount was paid. So I called and spoke to a very nice customer service rep from the Caribbean. I can't remember her name. She took my information and submitted my request for my bank account to be credited. On April 7th, I called to find out why my account had not been credited and she said that it was not yet. So I waited another week and I called today, April 14th, and I spoke with another rep. Never at any time when I spoke to a woman did she say that she was resubmitting the request for my refund. She then passed me off to billing because she couldn't give me an answer as to why my account hadn't been credited. So I spoke with another rep and he tells me that it is still sitting there waiting so he was doing another ""ticket"". I was none too happy then. I asked him, ""Why are you doing it now when it should have been done the first time, then the second time and now your doing it again? I asked for super",Billing,High
I called and cancelled my service because after 20 years with them I was tired of all the price hikes. They sent me a label to return the equipment and I returned it immediately. I paid my bill. I am now in collections because they do not recognize the other cable company and the copy of the new service date. So now I have collection against me for service; when I have documentation that I was with another provider. They have lived up to their reputation of below poor customer service.,Billing,High
"I was issued wrong charges for my Comcast bill for May 2013. When I called Comcast billing department on April 23, the initial customer service representative (CSR) could not help and forwarded me to her supervisor. Her supervisor (CSR ID**) gave me the commitment that the issue would be resolved by 3:00PM EST on April 24 and she will call me latest by 3:00PM EST on April 24. No one called. When I called on April 25 (at 11:30AM), the CSR (ID**) told me that someone will contact me later. When I asked for a supervisor, he denied to connect any supervisor. Now I am stuck and at a dead end on this issue. Comcast's local office says that I have to connect with billing department for billing issues. No one from Comcast billing department's side is ready to help in resolving the billing issue. This shows the kind of unprofessional and mismanaged operational procedures followed, and customers are left at the mercy of the situation. The statement that Comcast makes.",Billing,High
"First, I arranged to have cable TV installed and while the guy was here, I mentioned once my current internet contract was up, I wanted to switch to Comcast. I was told by him that if I got the internet while he was there, I would save the $49.95 service charge. So I went ahead and had it set up. Well, guess what? I got my first bill and that $49.95 was on the bill. I called and filed a complaint 3 days ago and still no reply from Comcast. Second, I received a call. Several days after my installation, I received 3 calls from a lady named Lea from Comcast. First off, she called during the day hours and I work nights so she had left messages to call back. I called back the first 2 times and no one at Comcast knew what she was calling for. The third time she called, she threatened me. She stated that if I did not call her and do a 5-min. voice verification on the package I was getting, that she would assign me a package of her choice. I do not like being threatened and especially by a ser",Billing,High
"I called Comcast to reduce or eliminate my service due to rising costs. I was sent to the retention department and offered a price of $120 from $160. I told the guy I would talk it over with my wife and call him back in 5 minutes. I called back and was told that I couldn't be directed back to the same person. I told my 2nd rep that I would take the $120 offer, but the rep said there is no way they could offer me that price. At that point, I started to become angry. I asked to speak with the manager and was told the manager was not able to speak with me. I was directed to customer retention, and the 3rd rep offered me $158. I hung up in anger. I called back again and the 4th rep offered me $147. I asked to speak to a manager and wanted to have the $120 deal. I was then directed toward a 5th, 6th, and 7th rep. Each rep gave me prices from $140-160, all completely different and every rep said that the $120 deal was impossible. Basically, they're calling me a liar. I asked how each of them",Billing,High
"I recently moved apartments in the same complex, approximately 2 buildings down from where I currently live.  I called Comcast to transfer service, and things were going fine until I was hit the the transfer fees.  Now I know where these guys make the money.  First I was being charged $25.99 for the reconnect fee.  Then I was asked how many TV's I had.  After I told them 2, I was then hit with a $13.99 charge to activate the second jack in the apartment.  Let's sum this up: $25.99 - Reconnect Fee; $13.99 - Additional TV Fee; $18.00 - Monthly Bill. To get setup this month with their service, it's going to cost me close to $58.  Every other company I worked with to transfer my services offered it free of charge.  I don't know how Comcast can actually get away with this, but I don't plan on being with them much longer.",Billing,High
"Canceled services because none of our promotional deals would transfer when we moved to another street in the same local area.  Took equipment to their location on Monday.  Guy at counter was extremely rude and behaved as if taking back Comcast's equipment was a huge imposition.  Called on Thursday to verify disconnect of service and they claim no proof of equipment turned in.  Receipt was buried in move, so called twice to request number to contact local office directly.  Once they hung up on me and another time told me there is no way to call them directly - I must drive out to the location.  Receipt was finally located, so I called again to give them the information.  First time, I was put on hold before she even asked my account number and the person never came back to the phone.  Hung up and called again and they tell me I still have to drive to the local office because they cannot verify my receipt over the phone.  Spent my entire lunch hour and the $4 per gallon gas to drive the",Billing,High
They charged me even though I never had service and then charged me when my service was disconnected twice.,Billing,High
I was not aware I was in a promotional contract. Rep said NO when I ask if it was going to change. After a year it jumped 30 per month. When I called to fix it they acted as if they did me a favor and took me to 89.99 per month plus about 30-35 in random fees on top of that. Rep said he would prorate bill from the 109 it jumped to per month down to the 89.99. Well he never did that and my bill became past due (paperless bills and makes same payment each month via autopay) - my service was shut off. Automated system said 53 dollars was past due. I paid it immediately and assumed the rep wrote off all but this figure. Fine I was ok with that. Service was just turned off again 2 months later. They said 29 was past due --- ok??? So I paid it thinking I missed a movie I ordered or something. This was yesterday.I go online to my account and it shows 134 past due. Ok!! I'm calling them. The first rep sounded as if he was napping and could barely form his words. He kept repeating himself about,Billing,High
"I have made multiple calls to Comcast since early July, 2010 regarding an intermittent problem with my cable signal that causes my sound, or both sound and picture to drop out for short durations ranging from 3-5 seconds to a minute or so. This can happen at any time. I was given a $51 credit on July 27, 2010. Since then the problem has continued.I have records of all my calls since July 27, who I spoke with and details. I was told by Omar (supervisor or manager) on September 20 that he would grant me $31 for credit. He said because he had no records of any calls except for one on August 29, that he could not give me credit for most of August. I called in August on 8/12, 8/17 and 8/29 and have notes of each call. He said he did not see them on his records.Today, 9/22/10, I call Comcast again to find out prices for no cable and get price for internet and phone only. In the process I explained my continuing problem to Jenifer. She said that she could see other calls in August besides the",Billing,High
"Approximately three to four weeks ago, I switched from AT&T to Comcast phone. Since then, the phones, TV and the Internet go in and out or do not work. I have spent four days at home for Comcast to fix their problem, and they will be here tomorrow. Great. I am tired of the Comcast reps saying they are sorry. All of them are sorry. How do you think I feel now that the problems are never fixed?",Billing,High
"Comcast is charging me $270.30 for 8 movies I did not watch and each movie cost $13.99. I would like Comcast to help me immediately because I have not watched these movies. For more information, you can email me at **. Thank you and I hope Comcast can help.",Billing,Medium
"Unbelievable! Tried to order the fight tonight on paper view but my balance was too high. Discovered, after holding for an hour, that someone in account billing had applied a returned check payment to my account, in an amount that I did not owe, plus an NSF fee. I talked to Customer Service, Customer Retention, Customer Service, and then they transferred me to Collections to get the charges removed. 1 hour and 20 minutes later my call was forwarded to a voicemail to leave a message. Called back and was disconnected numerous times. ",Billing,High
"I serviced Comcast customers through an independent contractor and had service with Comcast. Let's begin, I signed up with Comcast some years ago. I do not like being lied to. The agent had told me I would receive their triple pay for 99.00/mo. When I received my first bill, I was billed 132.00. When I didn't pay, they had a company called Midland Credit call me. Well they did not follow procedure and a class action lawsuit was filed against this company. An attorney sent me a letter with confirmation that I qualified for a credit of 1000.00. I signed back up with Comcast, was given the same above run-around. I paid 132.00/mo for endless repeated shows/movies (pay-per-view is not included with the monthly service fee). The programming is not updated, maybe every 6-7 months. I have not received any credit for anything. The internet connection was constantly breaking even during my servicing for Comcast. It was simple, Comcast got the contractor to do their dirty work for them. How can y",Billing,High
I have had the worst customer service experience with Comcast. I bought a new house and signed up for service with Comcast. I was excited because they promised really good speeds at a reasonable price. I signed up on June 30th and after 4 Comcast visits they had my internet set up by July 7th (might have been a bit later). Then on July 31st I called to cancel service because it was not meeting my needs. The customer service representative was very friendly and proceeded to cancel my service. I told her that I also wanted to pay my first/final bill with them. I did this because of a bad experience my wife had with Comcast when she moved from Oregon to California. She said that everything was taken care of and I moved on with my life.About 15 days later I got a bill from Comcast. I figured that they must have processed it by mistake and ignored it. Then about month later I got another bill. I figured that I better look into this and logged online to Comcast's web portal and it notified m,Billing,High
"I tried to sign up for Comcast service when I moved into my new apartment. Really, I tried three times. I signed up online for a package and was told that the equipment would be shipped to me. It never arrived, so I called a week later to be told that it had now been shipped and would arrive in days. I called again a week later to be told that NOW it would be shipped. I finally called a fourth time, still after receiving no equipment but after receiving a bill for $72, and was told it had never shipped. I asked them to cancel my account.I then received a bill for over $312 and numerous phone calls demanding I return the equipment, which of course I did not have. I finally wrote an email to the collection agency (yes, they turned in over in less than 30 days) demanding that they cease and desist--I never heard from them again. I also notified Comcast by phone and was assured once again that the bill was zeroed and that I would be receiving a zero bill soon. In the meantime, my husband w",Billing,High
"I am having an issue with Comcast and basically have no where to turn. I have a 15 year son who lives with my parents at 2430 Garfield Ave in West Lawn (Reading) His dad, Eric ** abandoned him when he was 2 years old and only came back into his life 8/2009. To make up for being gone he bought him anything he wanted.Well, my son wanted Xbox live. So, Eric ** had a Comcast account in his name put into my parent home on Garfield Ave 9/2010 for internet only, the only device that used the internet was the Xbox game system, there is no computer in the home. Eric himself has never lived on Garfield Ave. He only had the internet service installed there for his son who is 15 yeas old. He (Eric) told both me and my parents, that he gave Comcast his debit card information for automatic payments.On 12/14/10, my son had a problem getting his game to work, so we assumed it was a troubleshooting problem so we call Comcast. They then advised us it was shut off for non payment! There was no payment on",Billing,High
"3 times I got a recording (which I get), then transferred and hung up on... 45 min. Mind you I make 40 dollars an hour. Then the 4th time I got an agent and I could not get it sent to me because I am not my husband. Even though I have his SS and so on. Just for a remote. Now we are up to 90 minutes. So we are up to 60 dollars of my time. And don't get me started on my bill going up 40% in one month. It is a scam...",Billing,High
"Did not receive my card for refer a friend. My Friend received Comcast services on December 1, 2014.  April 14, 2015 comcast stated we cannot receive the Visa card because I paid my bill on March 8 instead of March 1. Will be getting a rocky $69 system and fire my cable company.",Billing,High
      I originally signed up with Adelphia Cable in 2002 for digital cable service.  The service was great!  No problems with reception or customer service.  About two years ago Comcast Cable Company bought out Adelphia.  It was a smooth transition or so I thought.  I admit there have been times over the past several years when my service was disconnected due to non payment.  (I lost my job and was struggling financially but was doing my best to stay afloat....)  I would get my bill caught up and get my services reconnected and pay the $30.00 reconnect fee with no complaints.  My service for digital cable initially started out being approximately $50.00 a month.  Over time they did increase but not drastically. Once Comcast took over I had my services reconnected again and began paying my bill on time and had continued service.  Once again hard times hit and I had to let the cable service go.  I called and spoke with a customer service representative and told them that I intended on ha,Billing,High
"Fixing billing mistakes when I first signed up for Comcast required multiple 30+ minute phone calls with corrections that were confirmed on the phone not occurring thereafter. Billing cannot be redone in real-time in the sense that if you were overbilled, the customer is promised a refund next month but must pay the inaccurate and larger bill the month the mistake occurred. Finally, cancelling service required over 45 minutes, speaking to 3 customer representatives, and then was not done, leading to further charges on the account and a continued cycle of customer service calls.",Billing,High
"Comcast Internet double charged me on my internet. When I contacted them, they told me to adjust my bill and send in payment. I did, they cut off my service without calling and notifying me. When I contacted to explain the situation for the 5th time including hold times over 45 min., they told me to pay the full bill and they would credit my account the next bill. I explained again that Jerrod, operator **, told me to pay the amount I owed. Their excuse again was to pay all the over charges and they would correct it on the next bill. Their customer service is the worst unless you're off the coast of Somalia and dealing with pirates. This has not been the only problem with service. Phone has gone down several times. This is also a business line. Warning, stay away from Comcast.",Billing,High
"Returned equipment, got charged, asked for refund. Said they would. Got partial, called. They said that was all. Complained to BBB. They still don't want to return my money or apologize for their rudeness or ignorance. It's not much, but it is the principle, and their rates have gone up astronomically and at a steady rate. I'm surprised they're still in business. Their quality has gone way down, but the prices sky high. As I said, I am going through Better Business Bureau, but want as many people and businesses to know about this - there is no integrity. Do they pro-rate what they owe you?",Billing,High
Sales rep said high speed internet was included in the package I just signed up for. I discovered I was being charged for it on the bill. I called Comcast/Xfinity and they said it wasn't included and wouldn't make it right. I then had them take the high speed internet off and they said they would credit my bill and it would show up in 24 hours and I wouldn't need to pay it. I check a few days later and the charges are still on my account. I got on a chat call with a rep and told them my story and they told me they wouldn't make it right either and that it was still on my bill and I would maybe see it on my next bill as a credit. Not a very customer friendly company and don't back up what their sales reps promise.,Billing,High
"I been with Comcast since January, 2011. From paying I believe back then $80-$90, now I'm paying $179.76...for basically the same thing! We have added a new box, that's it! I don't believe it's fair for us loyal customers for our bill to go higher because the ""promotional time"" has ended. Instead of trying to keep us, you treat us disposable once our contract has ended. To make it worst your costumer services suck!!! When you try to see if there's something else they can offer to lower our bill, we got an answer of ""you saved enough money with us through out the yrs"" so basically now you are charging me what I saved? Isn't that the reason why we took Comcast in the first place, to save? The person didn't even try to offer me anything. I been 4 yrs with this company, I even moved and continue with your services. I told the person I was going to discontinue the services, the person simple said ""ok, let me transfer you to that department""...where obviously he just transfer me to the gener",Billing,High
"I have had nothing but problems with Comcast from the beginning my services started up until the present. I have cable, home security, and Internet services with them. My thermostat from the home security was faulty from the beginning at least three techs were sent out. Each was supposed to put in a new thermostat box. They said it was replaced but it wasn't. How I know that, is because we had been painting and there was a small drop of paint on the box. Not big enough to damage it in any way. When the third or fourth tech came out was only then that I got a new box. My cameras from the home security would often go out and have to be reset, which many times wouldn't resolve the issue. When call Comcast to get my bill prorated for the times they were out, nothing was deducted from my bill and when I suspect a business worker may have stolen from me the cameras were still not working. Now I have a monthly bill that keeps getting higher and higher a month. I have tried to call Comcast sev",Billing,High
"First incident happened in April 2015. My first service package expired. I renewed my package by choosing a more inexpensive package with a 2 yr contract. I am on a fixed income, I was trying to stay within my budget. Comcast charged me not for the package I choose 109.00 mo, but for the package they chose that cost 215.00 mo and charged me 30.00 returned check fee for a check I had on file, that they never presented to the bank. I contacted Comcast and the rep admitted the check never was presented after I stated, I can get proof from my bank. Therefore I told them to send the check to the bank for payment. When I received my bill the next month showing credits, they did credit back the 30.00 return check fee, received their payment from the bank as agreed, but the charges and credits were so crazy. I do not know if the credit and charges are accurate. ""Life goes on"".Now let's go a little further. I set up a postdated check with Comcast on 6/17/15 for 6/27/15. Their policy is ""if you ",Billing,High
"I have been using Comcast internet service for years now, paying my monthly fee of $33. I use my internet for everything, as a phone, for my emails, to check train or bus schedules, etc. Now, without warning, Comcast has upped my internet bill to over $50 a month, and on my already stretched budget, I'm going to have to cancel my only means of communication. Comcast claims that they upped the bill to cope with new changes they made to my service, but I honestly feel that is a hollow lie to mask the utter greed that motivated this decision.",Billing,High
"After I sold my house, I paid all final charges from Comcast. A few weeks later a sleazy salesperson called and convinced me that I should only put my account on hold until I moved into my new house which was then under construction. Trusting him, I agreed, and paid a few months charges of $14/mo for nothing at all, and then started getting invoices for over $200 per month. Starting in 8/15, I have had at least 8 phone sessions (very lengthy) and 6 office visits to get resolved their billing me for no service whatsoever. When I moved into my new house in Sept, it took me until Dec to get them to start new service and now they say I owe them for a 'bad debt' of over $100.00. I was courteous today, but agent could not find the source of the charges and ended up just cutting me off. Beware of sales calls from Comcast.",Billing,High
